voivodeship,date,cases
świętokrzyskie,2020-11-17,624
kujawsko-pomorskie,2020-11-17,738
podlaskie,2020-11-17,512
dolnośląskie,2020-11-17,2418
podkarpackie,2020-11-17,551
małopolskie,2020-11-17,1724
pomorskie,2020-11-17,1325
warmińsko-mazurskie,2020-11-17,463
łódzkie,2020-11-17,1096
mazowieckie,2020-11-17,2272
lubelskie,2020-11-17,1294
lubuskie,2020-11-17,295
śląskie,2020-11-16,3322
opolskie,2020-11-16,557
wielkopolskie,2020-11-16,2400
zachodniopomorskie,2020-11-16,1110
świętokrzyskie,2020-11-16,787
kujawsko-pomorskie,2020-11-16,896
podlaskie,2020-11-16,487
dolnośląskie,2020-11-16,1784
podkarpackie,2020-11-16,842
małopolskie,2020-11-16,1295
pomorskie,2020-11-16,1037
warmińsko-mazurskie,2020-11-16,1040
łódzkie,2020-11-16,1083
mazowieckie,2020-11-16,2436
lubelskie,2020-11-16,1163
lubuskie,2020-11-16,577
śląskie,2020-11-15,3576
opolskie,2020-11-15,604
wielkopolskie,2020-11-15,2143
zachodniopomorskie,2020-11-15,1033
świętokrzyskie,2020-11-15,685
kujawsko-pomorskie,2020-11-15,1723
podlaskie,2020-11-15,725
dolnośląskie,2020-11-15,2016
podkarpackie,2020-11-15,926
małopolskie,2020-11-15,1859
pomorskie,2020-11-15,1046
warmińsko-mazurskie,2020-11-15,820
łódzkie,2020-11-15,1389
mazowieckie,2020-11-15,1642
lubelskie,2020-11-15,1248
lubuskie,2020-11-15,419
śląskie,2020-11-14,3453
opolskie,2020-11-14,799
wielkopolskie,2020-11-14,2742
zachodniopomorskie,2020-11-14,1045
świętokrzyskie,2020-11-14,1177
kujawsko-pomorskie,2020-11-14,955
podlaskie,2020-11-14,695
dolnośląskie,2020-11-14,2794
podkarpackie,2020-11-14,1162
małopolskie,2020-11-14,2202
pomorskie,2020-11-14,1328
warmińsko-mazurskie,2020-11-14,990
łódzkie,2020-11-14,1487
mazowieckie,2020-11-14,2419
lubelskie,2020-11-14,1563
lubuskie,2020-11-14,760
śląskie,2020-11-13,3841
opolskie,2020-11-13,802
wielkopolskie,2020-11-13,2866
zachodniopomorskie,2020-11-13,1331
świętokrzyskie,2020-11-13,920
kujawsko-pomorskie,2020-11-13,1279
podlaskie,2020-11-13,402
dolnośląskie,2020-11-13,2823
podkarpackie,2020-11-13,1264
małopolskie,2020-11-13,2271
pomorskie,2020-11-13,1421
warmińsko-mazurskie,2020-11-13,746
łódzkie,2020-11-13,1557
mazowieckie,2020-11-13,1410
lubelskie,2020-11-13,526
lubuskie,2020-11-13,592
śląskie,2020-11-12,3911
opolskie,2020-11-12,844
wielkopolskie,2020-11-12,2232
zachodniopomorskie,2020-11-12,768
świętokrzyskie,2020-11-12,825
kujawsko-pomorskie,2020-11-12,1083
podlaskie,2020-11-12,943
dolnośląskie,2020-11-12,1847
podkarpackie,2020-11-12,1276
małopolskie,2020-11-12,2132
pomorskie,2020-11-12,1114
warmińsko-mazurskie,2020-11-12,915
łódzkie,2020-11-12,1528
mazowieckie,2020-11-12,1746
lubelskie,2020-11-12,831
