voivodeship,date,cases
kujawsko-pomorskie,2020-11-21,1257
podlaskie,2020-11-21,927
dolnośląskie,2020-11-21,1792
podkarpackie,2020-11-21,872
małopolskie,2020-11-21,2213
pomorskie,2020-11-21,1715
warmińsko-mazurskie,2020-11-21,1191
łódzkie,2020-11-21,1563
mazowieckie,2020-11-21,3086
lubelskie,2020-11-21,1600
lubuskie,2020-11-21,645
śląskie,2020-11-20,2666
opolskie,2020-11-20,2258
wielkopolskie,2020-11-20,2258
zachodniopomorskie,2020-11-20,1276
świętokrzyskie,2020-11-20,860
kujawsko-pomorskie,2020-11-20,1431
podlaskie,2020-11-20,722
dolnośląskie,2020-11-20,1626
podkarpackie,2020-11-20,840
małopolskie,2020-11-20,1999
pomorskie,2020-11-20,1551
warmińsko-mazurskie,2020-11-20,1055
łódzkie,2020-11-20,1472
mazowieckie,2020-11-20,2679
lubelskie,2020-11-20,675
lubuskie,2020-11-20,562
śląskie,2020-11-19,4377
opolskie,2020-11-19,2153
wielkopolskie,2020-11-19,2153
zachodniopomorskie,2020-11-19,1185
świętokrzyskie,2020-11-19,945
kujawsko-pomorskie,2020-11-19,940
podlaskie,2020-11-19,517
dolnośląskie,2020-11-19,1808
podkarpackie,2020-11-19,1096
małopolskie,2020-11-19,1670
pomorskie,2020-11-19,1499
warmińsko-mazurskie,2020-11-19,1025
łódzkie,2020-11-19,1288
mazowieckie,2020-11-19,3041
lubelskie,2020-11-19,1108
lubuskie,2020-11-19,641
śląskie,2020-11-18,2214
opolskie,2020-11-18,1608
wielkopolskie,2020-11-18,1174
zachodniopomorskie,2020-11-18,1146
świętokrzyskie,2020-11-18,870
kujawsko-pomorskie,2020-11-18,854
podlaskie,2020-11-18,480
dolnośląskie,2020-11-18,2091
podkarpackie,2020-11-18,777
małopolskie,2020-11-18,1608
pomorskie,2020-11-18,1313
warmińsko-mazurskie,2020-11-18,788
łódzkie,2020-11-18,1154
mazowieckie,2020-11-18,3340
lubelskie,2020-11-18,627
lubuskie,2020-11-18,586
śląskie,2020-11-17,2442
opolskie,2020-11-17,1724
wielkopolskie,2020-11-17,1475
zachodniopomorskie,2020-11-17,1191
świętokrzyskie,2020-11-17,624
kujawsko-pomorskie,2020-11-17,738
podlaskie,2020-11-17,512
dolnośląskie,2020-11-17,2418
podkarpackie,2020-11-17,551
małopolskie,2020-11-17,1724
pomorskie,2020-11-17,1325
warmińsko-mazurskie,2020-11-17,463
łódzkie,2020-11-17,1096
mazowieckie,2020-11-17,2272
lubelskie,2020-11-17,1294
lubuskie,2020-11-17,295
śląskie,2020-11-16,3322
opolskie,2020-11-16,2400
wielkopolskie,2020-11-16,2400
zachodniopomorskie,2020-11-16,1110
świętokrzyskie,2020-11-16,787
kujawsko-pomorskie,2020-11-16,896
podlaskie,2020-11-16,487
dolnośląskie,2020-11-16,1784
podkarpackie,2020-11-16,842
małopolskie,2020-11-16,1295
pomorskie,2020-11-16,1110
warmińsko-mazurskie,2020-11-16,1040
łódzkie,2020-11-16,1083
mazowieckie,2020-11-16,2436
lubelskie,2020-11-16,1163
lubuskie,2020-11-16,577
śląskie,2020-11-15,3576
opolskie,2020-11-15,2143
wielkopolskie,2020-11-15,2143
